Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
1998,First Circuit,TRAFFIC VIOLATIONS,580128,371158,951286,324584,626702
1998,Second Circuit,TRAFFIC VIOLATIONS,58236,53494,111730,47167,64563
1998,Third Circuit,TRAFFIC VIOLATIONS,12145,50763,62908,54223,8685
1998,Fifth Circuit,TRAFFIC VIOLATIONS,12614,15698,28312,14577,13735
1999,First Circuit,TRAFFIC VIOLATIONS,626702,361171,987873,316993,670880
1999,Second Circuit,TRAFFIC VIOLATIONS,64563,51842,116405,49548,66857
1999,Third Circuit,TRAFFIC VIOLATIONS,8685,51162,59847,53658,6189
1999,Fifth Circuit,TRAFFIC VIOLATIONS,13735,15572,29307,14470,14837
2000,First Circuit,TRAFFIC VIOLATIONS,443575,320493,764068,290286,473782
2000,Second Circuit,TRAFFIC VIOLATIONS,38828,51176,90004,46168,43836
2000,Third Circuit,TRAFFIC VIOLATIONS,42120,50440,92560,44342,48218
2000,Fifth Circuit,TRAFFIC VIOLATIONS,9982,12456,22438,11031,11407
2001,First Circuit,TRAFFIC VIOLATIONS,473782,298763,772545,320314,452231
2001,Second Circuit,TRAFFIC VIOLATIONS,43836,40796,84632,41671,42961
2001,Third Circuit,TRAFFIC VIOLATIONS,48218,50500,98718,46881,51837
2001,Fifth Circuit,TRAFFIC VIOLATIONS,11407,16550,27957,15834,12123
2002,First Circuit,TRAFFIC VIOLATIONS,452231,327316,779547,328836,450711
2002,Second Circuit,TRAFFIC VIOLATIONS,42961,41960,84921,39752,45169
2002,Third Circuit,TRAFFIC VIOLATIONS,51837,50937,102774,47431,55343
2002,Fifth Circuit,TRAFFIC VIOLATIONS,12123,15646,27769,14775,12994
2003,First Circuit,TRAFFIC VIOLATIONS,450711,307885,758596,306971,451625
2003,Second Circuit,TRAFFIC VIOLATIONS,45169,47469,92638,44384,48254
2003,Third Circuit,TRAFFIC VIOLATIONS,55343,52045,107388,49995,57393
2003,Fifth Circuit,TRAFFIC VIOLATIONS,12994,14376,27370,14087,13283
2004,First Circuit,TRAFFIC VIOLATIONS,451625,322426,774051,326027,448024
2004,Second Circuit,TRAFFIC VIOLATIONS,48254,51234,99488,48130,51358
2004,Third Circuit,TRAFFIC VIOLATIONS,57393,59112,116505,55026,61479
2004,Fifth Circuit,TRAFFIC VIOLATIONS,13283,13089,26372,13182,13190
2005,First Circuit,TRAFFIC VIOLATIONS,448024,356390,804414,362533,441881
2005,Second Circuit,TRAFFIC VIOLATIONS,51358,46564,97922,43354,54568
2005,Third Circuit,TRAFFIC VIOLATIONS,61479,54265,115744,50498,65246
2005,Fifth Circuit,TRAFFIC VIOLATIONS,13190,13603,26793,12933,13860
2006,First Circuit,TRAFFIC VIOLATIONS,192820,366880,559700,300079,259621
2006,Second Circuit,TRAFFIC VIOLATIONS,20754,50937,71691,46707,24984
2006,Third Circuit,TRAFFIC VIOLATIONS,28157,59641,87798,54038,33760
2006,Fifth Circuit,TRAFFIC VIOLATIONS,6509,14151,20660,12089,8571
2016,First Circuit,Total - First Circuit,237604,322120,559724,362090,197634
2016,Second Circuit,TOTAL CASES,14143,38626,52769,39654,13115
2016,Third Circuit,TOTAL CASES,39393,41573,80966,48498,32468
2016,Fifth Circuit,TOTAL CASES,13307,11267,24574,15006,9568
2017,First Circuit,ALL PROCEEDINGS,125168,314694,439862,357967,81895
2017,Second Circuit,TOTAL CASES,13546,43200,56746,50432,6314
2017,Third Circuit,TOTAL CASES,20328,40766,61094,50332,10762
2017,Fifth Circuit,TOTAL CASES,3729,13515,17244,14100,3144
2018,First Circuit,TOTAL CASES,82575,314072,396647,310896,85751
2018,Second Circuit,TOTAL CASES,8504,40342,48846,44616,4230
2018,Third Circuit,TOTAL CASES,17764,40811,58575,48652,9923
2018,Fifth Circuit,TOTAL CASES,2738,10059,12797,11135,1662
2019,First Circuit,TOTAL CASES,159674,265544,425218,332567,92651
2019,Second Circuit,TOTAL CASES,11094,36587,47681,42459,5222
2019,Third Circuit,TOTAL CASES,22026,37120,59146,42322,16824
2019,Fifth Circuit,TOTAL CASES,4335,9395,13730,10645,3085
2020,First Circuit,TOTAL CASES,137926,236024,374353,262836,111517
2020,Second Circuit,TOTAL CASES,9618,31426,41044,36184,4860
2020,Third Circuit,TOTAL CASES,24310,36294,60604,36835,23769
2020,Fifth Circuit,TOTAL CASES,5209,9674,14883,10174,4709
2021,First Circuit,ALL PROCEEDINGS,139497,273496,412993,318348,94645
2021,Second Circuit,TOTAL CASES,10161,25170,35331,31392,3939
2021,Third Circuit,TOTAL CASES,15664,37276,52940,36446,16494
2021,Fifth Circuit,TOTAL CASES,6314,8198,14512,12542,1970
2022,First Circuit,ALL PROCEEDINGS,160536,259622,420158,308018,112140
2022,Second Circuit,TOTAL CASES,9187,33080,42267,36739,5528
2022,Third Circuit,TOTAL CASES,32286,38202,70488,34903,35585
2022,Fifth Circuit,TOTAL CASES,4072,13633,17705,10561,7144
2007,First Circuit,Total - First Circuit,242491,362712,605203,282713,327132
2007,Second Circuit,Total - Second Circuit,20476,38580,59056,40233,18968
2007,Third Circuit,Total - Third Circuit,29578,45801,75379,45047,31325
2007,Fifth Circuit,Total - Fifth Circuit,7688,10879,18567,10564,8007
2008,First Circuit,Total - First Circuit,323453,365977,689430,358613,336819
2008,Second Circuit,Total - Second Circuit,18151,38591,56742,39640,17199
2008,Third Circuit,Total - Third Circuit,30575,49055,79630,50518,29350
2008,Fifth Circuit,Total - Fifth Circuit,8099,11164,19263,11864,7429
2009,First Circuit,Total - First Circuit,336621,329537,666158,423543,248872
2009,Second Circuit,Total - Second Circuit,17124,32220,49344,34379,15031
2009,Third Circuit,Total - Third Circuit,28953,50332,79285,46194,33295
2009,Fifth Circuit,Total - Fifth Circuit,7293,11758,19051,11429,7645
2010,First Circuit,Total - First Circuit,246537,326255,572792,372721,206777
2010,Second Circuit,Total - Second Circuit,14985,31083,46068,37355,8800
2010,Third Circuit,Total - Third Circuit,32658,45375,78033,42039,36418
2010,Fifth Circuit,Total - Fifth Circuit,7420,14172,21592,12522,9019
2011,First Circuit,Total - First Circuit,206799,309155,515954,322862,199479
2011,Second Circuit,Total - Second Circuit,8433,33581,42014,33274,8871
2011,Third Circuit,Total - Third Circuit,36334,44472,80806,40250,40794
2011,Fifth Circuit,Total - Fifth Circuit,9172,15654,24826,13601,11238
2012,First Circuit,Total - First Circuit,185062,301967,487029,310353,182292
2012,Second Circuit,Total - Second Circuit,8674,35380,44054,35064,9177
2012,Third Circuit,Total - Third Circuit,40078,44358,84436,39177,45520
2012,Fifth Circuit,Total - Fifth Circuit,10292,14357,24649,14196,10453
2013,First Circuit,Total - First Circuit,183543,284823,468366,273521,203398
2013,Second Circuit,Total - Second Circuit,9093,35480,44573,33940,10746
2013,Third Circuit,Total - Third Circuit,44778,39912,84690,43359,41508
2013,Fifth Circuit,Total - Fifth Circuit,9637,12067,21704,12510,9196
2015,First Circuit,Total - First Circuit,216099,333052,549151,295213,259598
2015,Second Circuit,Total - Second Circuit,12358,33867,46225,31350,14959
2015,Third Circuit,Total - Third Circuit,37594,39795,77389,36820,40822
2015,Fifth Circuit,Total - Fifth Circuit,11398,13962,25360,14980,10393
2014,First Circuit,TOTAL FIRST CIRCUIT,206056,282158,488214,274952,218908
2014,Second Circuit,TOTAL SECOND CIRCUIT,10625,31237,41862,29643,12307
2014,Third Circuit,TOTAL - THIRD CIRCUIT,41348,43614,84962,46976,38384
2014,Fifth Circuit,TOTAL FIFTH CIRCUIT,8677,13869,22546,10526,12020
